city_key,market_ticker,event_date,decision_ts,decision_price,resolved_yes,model_prob_yes,model_prob_no,fair_yes,fair_no,yes_bid,yes_ask,no_bid,no_ask,chosen_side,entry_price,entry_price_source,pricing_mode,quote_source,uses_true_quotes,quote_spread,exec_edge_yes,exec_edge_no,edge_at_entry,gross_edge_at_entry,contracts,fees,gross_pnl,net_pnl,lookback_sample_size,model_name,fold_number,market_subtitle,strike_type,floor_strike,cap_strike,contract_type,entry_price_bucket,won
chicago,KXHIGHCHI-25DEC16-T35,2025-12-16,2025-12-16 16:00:00+00:00,3.0,False,0.354839,0.645161,0.354839,0.645161,2.0,3.0,97.0,98.0,yes,3.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.314839,,0.314839,0.324839,1,0.01,-0.03,-0.04,31,baseline_climatology_v1,1,34° or below,less,,35.0,or_below,0-25,False
chicago,KXHIGHCHI-25DEC16-T42,2025-12-16,2025-12-16 16:00:00+00:00,0.5,False,0.483871,0.516129,0.483871,0.516129,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.463871,,0.463871,0.473871,1,0.01,-0.01,-0.02,31,baseline_climatology_v1,1,43° or above,greater,42.0,,or_above,0-25,False
nyc,KXHIGHNY-25DEC16-T35,2025-12-16,2025-12-16 15:00:00+00:00,4.0,False,0.806452,0.193548,0.806452,0.193548,4.0,6.0,94.0,96.0,yes,6.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,2.0,0.736452,,0.736452,0.746452,1,0.01,-0.06,-0.07,31,baseline_climatology_v1,1,36° or above,greater,35.0,,or_above,0-25,False
chicago,KXHIGHCHI-25DEC17-T34,2025-12-17,2025-12-17 16:00:00+00:00,0.5,False,0.354839,0.645161,0.354839,0.645161,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.334839,,0.334839,0.344839,1,0.01,-0.01,-0.02,31,baseline_climatology_v1,1,33° or below,less,,34.0,or_below,0-25,False
nyc,KXHIGHNY-25DEC17-T43,2025-12-17,2025-12-17 15:00:00+00:00,2.0,False,0.419355,0.580645,0.419355,0.580645,1.0,2.0,98.0,99.0,yes,2.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.389355,,0.389355,0.399355,1,0.01,-0.02,-0.03,31,baseline_climatology_v1,1,42° or below,less,,43.0,or_below,0-25,False
nyc,KXHIGHNY-25DEC17-T50,2025-12-17,2025-12-17 15:00:00+00:00,2.0,False,0.387097,0.612903,0.387097,0.612903,1.0,3.0,97.0,99.0,yes,3.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,2.0,0.347097,,0.347097,0.357097,1,0.01,-0.03,-0.04,31,baseline_climatology_v1,1,51° or above,greater,50.0,,or_above,0-25,False
chicago,KXHIGHCHI-25DEC18-T48,2025-12-18,2025-12-18 16:00:00+00:00,1.0,False,0.870968,0.129032,0.870968,0.129032,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.850968,,0.850968,0.860968,1,0.01,-0.01,-0.02,31,baseline_climatology_v1,1,47° or below,less,,48.0,or_below,0-25,False
nyc,KXHIGHNY-25DEC18-T50,2025-12-18,2025-12-18 15:00:00+00:00,20.0,True,0.709677,0.290323,0.709677,0.290323,21.0,22.0,78.0,79.0,yes,22.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.469677,,0.469677,0.489677,1,0.02,0.78,0.76,31,baseline_climatology_v1,1,49° or below,less,,50.0,or_below,0-25,True
nyc,KXHIGHNY-25DEC18-T57,2025-12-18,2025-12-18 15:00:00+00:00,0.5,False,0.225806,0.774194,0.225806,0.774194,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.205806,,0.205806,0.215806,1,0.01,-0.01,-0.02,31,baseline_climatology_v1,1,58° or above,greater,57.0,,or_above,0-25,False
chicago,KXHIGHCHI-25DEC19-T31,2025-12-19,2025-12-19 16:00:00+00:00,1.0,False,0.806452,0.193548,0.806452,0.193548,1.0,2.0,98.0,99.0,yes,2.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.776452,,0.776452,0.786452,1,0.01,-0.02,-0.03,31,baseline_climatology_v1,1,32° or above,greater,31.0,,or_above,0-25,False
nyc,KXHIGHNY-25DEC19-T54,2025-12-19,2025-12-19 15:00:00+00:00,1.0,False,0.870968,0.129032,0.870968,0.129032,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.850968,,0.850968,0.860968,1,0.01,-0.01,-0.02,31,baseline_climatology_v1,1,53° or below,less,,54.0,or_below,0-25,False
chicago,KXHIGHCHI-25DEC20-T39,2025-12-20,2025-12-20 16:00:00+00:00,1.0,False,0.451613,0.548387,0.451613,0.548387,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.431613,,0.431613,0.441613,1,0.01,-0.01,-0.02,31,baseline_climatology_v1,1,38° or below,less,,39.0,or_below,0-25,False
chicago,KXHIGHCHI-25DEC20-T46,2025-12-20,2025-12-20 16:00:00+00:00,3.0,False,0.258065,0.741935,0.258065,0.741935,2.0,3.0,97.0,98.0,yes,3.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.218065,,0.218065,0.228065,1,0.01,-0.03,-0.04,31,baseline_climatology_v1,1,47° or above,greater,46.0,,or_above,0-25,False
nyc,KXHIGHNY-25DEC20-B42.5,2025-12-20,2025-12-20 15:00:00+00:00,4.0,False,0.129032,0.870968,0.129032,0.870968,2.0,3.0,97.0,98.0,yes,3.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.089032,,0.089032,0.099032,1,0.01,-0.03,-0.04,31,baseline_climatology_v1,1,42° to 43°,between,42.0,43.0,between,0-25,False
nyc,KXHIGHNY-25DEC20-T36,2025-12-20,2025-12-20 15:00:00+00:00,2.0,False,0.225806,0.774194,0.225806,0.774194,1.0,2.0,98.0,99.0,yes,2.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.195806,,0.195806,0.205806,1,0.01,-0.02,-0.03,31,baseline_climatology_v1,1,35° or below,less,,36.0,or_below,0-25,False
