city_key,market_ticker,event_date,decision_ts,decision_price,resolved_yes,model_prob_yes,model_prob_no,fair_yes,fair_no,yes_bid,yes_ask,no_bid,no_ask,chosen_side,entry_price,entry_price_source,pricing_mode,quote_source,uses_true_quotes,quote_spread,exec_edge_yes,exec_edge_no,edge_at_entry,gross_edge_at_entry,contracts,fees,gross_pnl,net_pnl,lookback_sample_size,model_name,fold_number,market_subtitle,strike_type,floor_strike,cap_strike,contract_type,entry_price_bucket,won
chicago,KXHIGHCHI-25DEC16-T35,2025-12-16,2025-12-16 15:00:00+00:00,6.0,False,0.354839,0.645161,0.354839,0.645161,4.0,6.0,94.0,96.0,yes,6.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,2.0,0.294839,,0.294839,0.294839,1,0.0,-0.06,-0.06,31,baseline_climatology_v1,1,34° or below,less,,35.0,or_below,0-25,False
chicago,KXHIGHCHI-25DEC16-T42,2025-12-16,2025-12-16 15:00:00+00:00,1.0,False,0.483871,0.516129,0.483871,0.516129,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.473871,,0.473871,0.473871,1,0.0,-0.01,-0.01,31,baseline_climatology_v1,1,43° or above,greater,42.0,,or_above,0-25,False
nyc,KXHIGHNY-25DEC16-T35,2025-12-16,2025-12-16 14:00:00+00:00,3.0,False,0.806452,0.193548,0.806452,0.193548,3.0,4.0,96.0,97.0,yes,4.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.766452,,0.766452,0.766452,1,0.0,-0.04,-0.04,31,baseline_climatology_v1,1,36° or above,greater,35.0,,or_above,0-25,False
chicago,KXHIGHCHI-25DEC17-T34,2025-12-17,2025-12-17 15:00:00+00:00,0.5,False,0.354839,0.645161,0.354839,0.645161,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.344839,,0.344839,0.344839,1,0.0,-0.01,-0.01,31,baseline_climatology_v1,1,33° or below,less,,34.0,or_below,0-25,False
nyc,KXHIGHNY-25DEC17-T43,2025-12-17,2025-12-17 14:00:00+00:00,2.0,False,0.419355,0.580645,0.419355,0.580645,2.0,3.0,97.0,98.0,yes,3.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.389355,,0.389355,0.389355,1,0.0,-0.03,-0.03,31,baseline_climatology_v1,1,42° or below,less,,43.0,or_below,0-25,False
nyc,KXHIGHNY-25DEC17-T50,2025-12-17,2025-12-17 14:00:00+00:00,9.0,False,0.387097,0.612903,0.387097,0.612903,9.0,10.0,90.0,91.0,yes,10.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.287097,,0.287097,0.287097,1,0.0,-0.1,-0.1,31,baseline_climatology_v1,1,51° or above,greater,50.0,,or_above,0-25,False
chicago,KXHIGHCHI-25DEC18-T48,2025-12-18,2025-12-18 15:00:00+00:00,1.5,False,0.870968,0.129032,0.870968,0.129032,1.0,2.0,98.0,99.0,yes,2.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.850968,,0.850968,0.850968,1,0.0,-0.02,-0.02,31,baseline_climatology_v1,1,47° or below,less,,48.0,or_below,0-25,False
nyc,KXHIGHNY-25DEC18-T50,2025-12-18,2025-12-18 14:00:00+00:00,25.0,True,0.709677,0.290323,0.709677,0.290323,25.0,26.0,74.0,75.0,yes,26.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.449677,,0.449677,0.449677,1,0.0,0.74,0.74,31,baseline_climatology_v1,1,49° or below,less,,50.0,or_below,25-50,True
nyc,KXHIGHNY-25DEC18-T57,2025-12-18,2025-12-18 14:00:00+00:00,1.0,False,0.225806,0.774194,0.225806,0.774194,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.215806,,0.215806,0.215806,1,0.0,-0.01,-0.01,31,baseline_climatology_v1,1,58° or above,greater,57.0,,or_above,0-25,False
chicago,KXHIGHCHI-25DEC19-T31,2025-12-19,2025-12-19 15:00:00+00:00,1.0,False,0.806452,0.193548,0.806452,0.193548,1.0,2.0,98.0,99.0,yes,2.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.786452,,0.786452,0.786452,1,0.0,-0.02,-0.02,31,baseline_climatology_v1,1,32° or above,greater,31.0,,or_above,0-25,False
nyc,KXHIGHNY-25DEC19-T54,2025-12-19,2025-12-19 14:00:00+00:00,0.5,False,0.870968,0.129032,0.870968,0.129032,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.860968,,0.860968,0.860968,1,0.0,-0.01,-0.01,31,baseline_climatology_v1,1,53° or below,less,,54.0,or_below,0-25,False
chicago,KXHIGHCHI-25DEC20-T39,2025-12-20,2025-12-20 15:00:00+00:00,2.0,False,0.451613,0.548387,0.451613,0.548387,1.0,2.0,98.0,99.0,yes,2.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.431613,,0.431613,0.431613,1,0.0,-0.02,-0.02,31,baseline_climatology_v1,1,38° or below,less,,39.0,or_below,0-25,False
chicago,KXHIGHCHI-25DEC20-T46,2025-12-20,2025-12-20 15:00:00+00:00,4.0,False,0.258065,0.741935,0.258065,0.741935,2.0,4.0,96.0,98.0,yes,4.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,2.0,0.218065,,0.218065,0.218065,1,0.0,-0.04,-0.04,31,baseline_climatology_v1,1,47° or above,greater,46.0,,or_above,0-25,False
nyc,KXHIGHNY-25DEC20-B42.5,2025-12-20,2025-12-20 14:00:00+00:00,4.0,False,0.129032,0.870968,0.129032,0.870968,2.0,3.0,97.0,98.0,yes,3.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.099032,,0.099032,0.099032,1,0.0,-0.03,-0.03,31,baseline_climatology_v1,1,42° to 43°,between,42.0,43.0,between,0-25,False
nyc,KXHIGHNY-25DEC20-T36,2025-12-20,2025-12-20 14:00:00+00:00,1.0,False,0.225806,0.774194,0.225806,0.774194,1.0,2.0,98.0,99.0,yes,2.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.205806,,0.205806,0.205806,1,0.0,-0.02,-0.02,31,baseline_climatology_v1,1,35° or below,less,,36.0,or_below,0-25,False
nyc,KXHIGHNY-25DEC20-T43,2025-12-20,2025-12-20 14:00:00+00:00,1.0,False,0.354839,0.645161,0.354839,0.645161,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.344839,,0.344839,0.344839,1,0.0,-0.01,-0.01,31,baseline_climatology_v1,1,44° or above,greater,43.0,,or_above,0-25,False
chicago,KXHIGHCHI-25DEC21-T34,2025-12-21,2025-12-21 15:00:00+00:00,7.0,False,0.774194,0.225806,0.774194,0.225806,7.0,8.0,92.0,93.0,yes,8.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.694194,,0.694194,0.694194,1,0.0,-0.08,-0.08,31,baseline_climatology_v1,1,35° or above,greater,34.0,,or_above,0-25,False
nyc,KXHIGHNY-25DEC21-T40,2025-12-21,2025-12-21 14:00:00+00:00,1.0,False,0.451613,0.548387,0.451613,0.548387,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.441613,,0.441613,0.441613,1,0.0,-0.01,-0.01,31,baseline_climatology_v1,1,39° or below,less,,40.0,or_below,0-25,False
nyc,KXHIGHNY-25DEC21-T47,2025-12-21,2025-12-21 14:00:00+00:00,9.0,False,0.225806,0.774194,0.225806,0.774194,11.0,13.0,87.0,89.0,yes,13.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,2.0,0.095806,,0.095806,0.095806,1,0.0,-0.13,-0.13,31,baseline_climatology_v1,1,48° or above,greater,47.0,,or_above,0-25,False
chicago,KXHIGHCHI-25DEC22-T40,2025-12-22,2025-12-22 15:00:00+00:00,2.0,False,0.451613,0.548387,0.451613,0.548387,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.441613,,0.441613,0.441613,1,0.0,-0.01,-0.01,31,baseline_climatology_v1,1,39° or below,less,,40.0,or_below,0-25,False
chicago,KXHIGHCHI-25DEC22-T47,2025-12-22,2025-12-22 15:00:00+00:00,5.0,False,0.258065,0.741935,0.258065,0.741935,4.0,5.0,95.0,96.0,yes,5.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.208065,,0.208065,0.208065,1,0.0,-0.05,-0.05,31,baseline_climatology_v1,1,48° or above,greater,47.0,,or_above,0-25,False
nyc,KXHIGHNY-25DEC22-T36,2025-12-22,2025-12-22 14:00:00+00:00,2.0,False,0.16129,0.83871,0.16129,0.83871,0.0,2.0,98.0,100.0,yes,2.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,2.0,0.14129,,0.14129,0.14129,1,0.0,-0.02,-0.02,31,baseline_climatology_v1,1,35° or below,less,,36.0,or_below,0-25,False
nyc,KXHIGHNY-25DEC22-T43,2025-12-22,2025-12-22 14:00:00+00:00,3.0,False,0.612903,0.387097,0.612903,0.387097,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.602903,,0.602903,0.602903,1,0.0,-0.01,-0.01,31,baseline_climatology_v1,1,44° or above,greater,43.0,,or_above,0-25,False
chicago,KXHIGHCHI-25DEC23-T45,2025-12-23,2025-12-23 15:00:00+00:00,1.0,False,0.677419,0.322581,0.677419,0.322581,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.667419,,0.667419,0.667419,1,0.0,-0.01,-0.01,31,baseline_climatology_v1,1,44° or below,less,,45.0,or_below,0-25,False
nyc,KXHIGHNY-25DEC23-B44.5,2025-12-23,2025-12-23 14:00:00+00:00,1.0,False,0.064516,0.935484,0.064516,0.935484,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.054516,,0.054516,0.054516,1,0.0,-0.01,-0.01,31,baseline_climatology_v1,1,44° to 45°,between,44.0,45.0,between,0-25,False
nyc,KXHIGHNY-25DEC23-T38,2025-12-23,2025-12-23 14:00:00+00:00,1.0,False,0.16129,0.83871,0.16129,0.83871,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.15129,,0.15129,0.15129,1,0.0,-0.01,-0.01,31,baseline_climatology_v1,1,37° or below,less,,38.0,or_below,0-25,False
nyc,KXHIGHNY-25DEC23-T45,2025-12-23,2025-12-23 14:00:00+00:00,1.0,False,0.580645,0.419355,0.580645,0.419355,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.570645,,0.570645,0.570645,1,0.0,-0.01,-0.01,31,baseline_climatology_v1,1,46° or above,greater,45.0,,or_above,0-25,False
chicago,KXHIGHCHI-25DEC24-T40,2025-12-24,2025-12-24 15:00:00+00:00,0.5,False,0.451613,0.548387,0.451613,0.548387,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.441613,,0.441613,0.441613,1,0.0,-0.01,-0.01,31,baseline_climatology_v1,1,39° or below,less,,40.0,or_below,0-25,False
nyc,KXHIGHNY-25DEC24-T40,2025-12-24,2025-12-24 14:00:00+00:00,1.0,False,0.322581,0.677419,0.322581,0.677419,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.312581,,0.312581,0.312581,1,0.0,-0.01,-0.01,31,baseline_climatology_v1,1,39° or below,less,,40.0,or_below,0-25,False
nyc,KXHIGHNY-25DEC24-T47,2025-12-24,2025-12-24 14:00:00+00:00,2.0,False,0.387097,0.612903,0.387097,0.612903,3.0,5.0,95.0,97.0,yes,5.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,2.0,0.337097,,0.337097,0.337097,1,0.0,-0.05,-0.05,31,baseline_climatology_v1,1,48° or above,greater,47.0,,or_above,0-25,False
chicago,KXHIGHCHI-25DEC25-T40,2025-12-25,2025-12-25 15:00:00+00:00,1.0,False,0.419355,0.580645,0.419355,0.580645,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.409355,,0.409355,0.409355,1,0.0,-0.01,-0.01,31,baseline_climatology_v1,1,39° or below,less,,40.0,or_below,0-25,False
chicago,KXHIGHCHI-25DEC25-T47,2025-12-25,2025-12-25 15:00:00+00:00,2.0,False,0.354839,0.645161,0.354839,0.645161,1.0,2.0,98.0,99.0,yes,2.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.334839,,0.334839,0.334839,1,0.0,-0.02,-0.02,31,baseline_climatology_v1,1,48° or above,greater,47.0,,or_above,0-25,False
nyc,KXHIGHNY-25DEC25-T41,2025-12-25,2025-12-25 14:00:00+00:00,0.5,False,0.387097,0.612903,0.387097,0.612903,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.377097,,0.377097,0.377097,1,0.0,-0.01,-0.01,31,baseline_climatology_v1,1,40° or below,less,,41.0,or_below,0-25,False
chicago,KXHIGHCHI-25DEC26-T49,2025-12-26,2025-12-26 15:00:00+00:00,31.0,True,0.741935,0.258065,0.741935,0.258065,30.0,36.0,64.0,70.0,yes,36.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,6.0,0.381935,,0.381935,0.381935,1,0.0,0.64,0.64,31,baseline_climatology_v1,1,48° or below,less,,49.0,or_below,25-50,True
chicago,KXHIGHCHI-25DEC26-T56,2025-12-26,2025-12-26 15:00:00+00:00,1.0,False,0.129032,0.870968,0.129032,0.870968,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.119032,,0.119032,0.119032,1,0.0,-0.01,-0.01,31,baseline_climatology_v1,1,57° or above,greater,56.0,,or_above,0-25,False
nyc,KXHIGHNY-25DEC26-T34,2025-12-26,2025-12-26 14:00:00+00:00,4.0,False,0.83871,0.16129,0.83871,0.16129,3.0,4.0,96.0,97.0,yes,4.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.79871,,0.79871,0.79871,1,0.0,-0.04,-0.04,31,baseline_climatology_v1,1,35° or above,greater,34.0,,or_above,0-25,False
