decision_time_local,scenario_code,city_scope,fold_number,trades_taken,total_net_pnl,win_rate,average_entry_price,average_spread,average_edge,positive_fold
08:00,A,pooled,1,23,1.92,0.130435,4.695652,1.130435,0.380813,True
08:00,A,pooled,2,26,0.27,0.038462,2.807692,1.730769,0.531415,True
08:00,A,pooled,3,13,0.28,0.076923,5.538462,1.769231,0.26362,True
08:00,A,nyc,1,13,0.4,0.076923,4.615385,1.153846,0.298759,True
08:00,A,nyc,2,13,0.72,0.076923,2.153846,1.769231,0.463254,True
08:00,A,nyc,3,7,-0.3,0.0,4.285714,1.571429,0.326891,False
08:00,A,chicago,1,10,1.52,0.2,4.8,1.1,0.487484,True
08:00,A,chicago,2,13,-0.45,0.0,3.461538,1.692308,0.599576,False
08:00,A,chicago,3,6,0.58,0.166667,7.0,2.0,0.189804,True
08:00,B,pooled,1,23,1.67,0.130435,4.695652,1.130435,0.369944,True
08:00,B,pooled,2,26,0.01,0.038462,2.807692,1.730769,0.521415,True
08:00,B,pooled,3,13,0.14,0.076923,5.538462,1.769231,0.252851,True
08:00,B,nyc,1,13,0.26,0.076923,4.615385,1.153846,0.28799,True
08:00,B,nyc,2,13,0.59,0.076923,2.153846,1.769231,0.453254,True
08:00,B,nyc,3,7,-0.38,0.0,4.285714,1.571429,0.315462,False
08:00,B,chicago,1,10,1.41,0.2,4.8,1.1,0.476484,True
08:00,B,chicago,2,13,-0.58,0.0,3.461538,1.692308,0.589576,False
08:00,B,chicago,3,6,0.52,0.166667,7.0,2.0,0.179804,True
08:00,C,pooled,1,23,1.67,0.130435,4.695652,1.130435,0.369944,True
08:00,C,pooled,2,26,0.01,0.038462,2.807692,1.730769,0.521415,True
08:00,C,pooled,3,13,0.14,0.076923,5.538462,1.769231,0.252851,True
08:00,C,nyc,1,13,0.26,0.076923,4.615385,1.153846,0.28799,True
08:00,C,nyc,2,13,0.59,0.076923,2.153846,1.769231,0.453254,True
08:00,C,nyc,3,7,-0.38,0.0,4.285714,1.571429,0.315462,False
08:00,C,chicago,1,10,1.41,0.2,4.8,1.1,0.476484,True
08:00,C,chicago,2,13,-0.58,0.0,3.461538,1.692308,0.589576,False
08:00,C,chicago,3,6,0.52,0.166667,7.0,2.0,0.179804,True
08:00,D,pooled,1,23,1.67,0.130435,4.695652,1.130435,0.369944,True
08:00,D,pooled,2,23,0.32,0.043478,1.956522,1.391304,0.522341,True
08:00,D,pooled,3,10,-0.4,0.0,3.0,1.1,0.301176,False
08:00,D,nyc,1,13,0.26,0.076923,4.615385,1.153846,0.28799,True
08:00,D,nyc,2,12,0.66,0.083333,1.833333,1.416667,0.423329,True
08:00,D,nyc,3,6,-0.17,0.0,1.833333,1.0,0.344216,False
08:00,D,chicago,1,10,1.41,0.2,4.8,1.1,0.476484,True
08:00,D,chicago,2,11,-0.34,0.0,2.090909,1.363636,0.630354,False
08:00,D,chicago,3,4,-0.23,0.0,4.75,1.25,0.236618,False
09:00,A,pooled,1,21,0.46,0.047619,2.571429,1.285714,0.373671,True
09:00,A,pooled,2,27,0.43,0.037037,2.111111,1.333333,0.522016,True
09:00,A,pooled,3,12,-0.4,0.0,3.333333,1.166667,0.292647,False
09:00,A,nyc,1,12,-0.32,0.0,2.666667,1.416667,0.287849,False
09:00,A,nyc,2,13,0.8,0.076923,1.538462,1.307692,0.469408,True
09:00,A,nyc,3,7,-0.18,0.0,2.571429,1.0,0.344034,False
09:00,A,chicago,1,9,0.78,0.111111,2.444444,1.111111,0.4881,True
09:00,A,chicago,2,14,-0.37,0.0,2.642857,1.357143,0.570867,False
09:00,A,chicago,3,5,-0.22,0.0,4.4,1.4,0.220706,False
09:00,B,pooled,1,20,0.37,0.05,2.15,1.3,0.37979,True
09:00,B,pooled,2,27,0.16,0.037037,2.111111,1.333333,0.512016,True
09:00,B,pooled,3,12,-0.52,0.0,3.333333,1.166667,0.282647,False
09:00,B,nyc,1,11,-0.32,0.0,1.909091,1.454545,0.299355,False
09:00,B,nyc,2,13,0.67,0.076923,1.538462,1.307692,0.459408,True
09:00,B,nyc,3,7,-0.25,0.0,2.571429,1.0,0.334034,False
09:00,B,chicago,1,9,0.69,0.111111,2.444444,1.111111,0.4781,True
09:00,B,chicago,2,14,-0.51,0.0,2.642857,1.357143,0.560867,False
09:00,B,chicago,3,5,-0.27,0.0,4.4,1.4,0.210706,False
09:00,C,pooled,1,20,0.37,0.05,2.15,1.3,0.37979,True
09:00,C,pooled,2,27,0.16,0.037037,2.111111,1.333333,0.512016,True
09:00,C,pooled,3,12,-0.52,0.0,3.333333,1.166667,0.282647,False
09:00,C,nyc,1,11,-0.32,0.0,1.909091,1.454545,0.299355,False
09:00,C,nyc,2,13,0.67,0.076923,1.538462,1.307692,0.459408,True
09:00,C,nyc,3,7,-0.25,0.0,2.571429,1.0,0.334034,False
09:00,C,chicago,1,9,0.69,0.111111,2.444444,1.111111,0.4781,True
09:00,C,chicago,2,14,-0.51,0.0,2.642857,1.357143,0.560867,False
09:00,C,chicago,3,5,-0.27,0.0,4.4,1.4,0.210706,False
09:00,D,pooled,1,19,0.45,0.052632,1.894737,1.105263,0.383616,True
09:00,D,pooled,2,26,0.21,0.038462,2.038462,1.230769,0.526845,True
09:00,D,pooled,3,11,-0.42,0.0,2.818182,1.0,0.296043,False
09:00,D,nyc,1,10,-0.24,0.0,1.4,1.1,0.298581,False
09:00,D,nyc,2,12,0.72,0.083333,1.333333,1.083333,0.487153,True
09:00,D,nyc,3,7,-0.25,0.0,2.571429,1.0,0.334034,False
09:00,D,chicago,1,9,0.69,0.111111,2.444444,1.111111,0.4781,True
09:00,D,chicago,2,14,-0.51,0.0,2.642857,1.357143,0.560867,False
09:00,D,chicago,3,4,-0.17,0.0,3.25,1.0,0.229559,False
10:00,A,pooled,1,22,2.19,0.136364,3.681818,1.136364,0.403064,True
10:00,A,pooled,2,27,0.39,0.037037,2.259259,1.37037,0.520535,True
10:00,A,pooled,3,13,0.5,0.076923,3.846154,1.076923,0.280543,True
10:00,A,nyc,1,12,0.59,0.083333,3.416667,1.25,0.326048,True
10:00,A,nyc,2,13,0.84,0.076923,1.230769,1.153846,0.472485,True
10:00,A,nyc,3,7,-0.17,0.0,2.428571,1.0,0.345462,False
10:00,A,chicago,1,10,1.6,0.2,4.0,1.0,0.495484,True
10:00,A,chicago,2,14,-0.45,0.0,3.214286,1.571429,0.565152,False
10:00,A,chicago,3,6,0.67,0.166667,5.5,1.166667,0.204804,True
10:00,B,pooled,1,22,1.95,0.136364,3.681818,1.136364,0.392155,True
10:00,B,pooled,2,27,0.12,0.037037,2.259259,1.37037,0.510535,True
10:00,B,pooled,3,13,0.37,0.076923,3.846154,1.076923,0.270543,True
10:00,B,nyc,1,12,0.46,0.083333,3.416667,1.25,0.315215,True
10:00,B,nyc,2,13,0.71,0.076923,1.230769,1.153846,0.462485,True
10:00,B,nyc,3,7,-0.24,0.0,2.428571,1.0,0.335462,False
10:00,B,chicago,1,10,1.49,0.2,4.0,1.0,0.484484,True
10:00,B,chicago,2,14,-0.59,0.0,3.214286,1.571429,0.555152,False
10:00,B,chicago,3,6,0.61,0.166667,5.5,1.166667,0.194804,True
10:00,C,pooled,1,22,1.95,0.136364,3.681818,1.136364,0.392155,True
10:00,C,pooled,2,27,0.12,0.037037,2.259259,1.37037,0.510535,True
10:00,C,pooled,3,13,0.37,0.076923,3.846154,1.076923,0.270543,True
10:00,C,nyc,1,12,0.46,0.083333,3.416667,1.25,0.315215,True
10:00,C,nyc,2,13,0.71,0.076923,1.230769,1.153846,0.462485,True
10:00,C,nyc,3,7,-0.24,0.0,2.428571,1.0,0.335462,False
10:00,C,chicago,1,10,1.49,0.2,4.0,1.0,0.484484,True
10:00,C,chicago,2,14,-0.59,0.0,3.214286,1.571429,0.555152,False
10:00,C,chicago,3,6,0.61,0.166667,5.5,1.166667,0.194804,True
10:00,D,pooled,1,21,2.02,0.142857,3.571429,1.047619,0.39573,True
10:00,D,pooled,2,24,0.35,0.041667,1.708333,1.041667,0.52266,True
10:00,D,pooled,3,13,0.37,0.076923,3.846154,1.076923,0.270543,True
10:00,D,nyc,1,11,0.53,0.090909,3.181818,1.090909,0.315044,True
10:00,D,nyc,2,12,0.75,0.083333,1.083333,1.0,0.433281,True
10:00,D,nyc,3,7,-0.24,0.0,2.428571,1.0,0.335462,False
10:00,D,chicago,1,10,1.49,0.2,4.0,1.0,0.484484,True
10:00,D,chicago,2,12,-0.4,0.0,2.333333,1.083333,0.61204,False
10:00,D,chicago,3,6,0.61,0.166667,5.5,1.166667,0.194804,True
11:00,A,pooled,1,22,2.33,0.136364,3.045455,1.136364,0.409428,True
11:00,A,pooled,2,26,0.5,0.038462,1.923077,1.384615,0.540261,True
11:00,A,pooled,3,12,-0.28,0.0,2.333333,1.083333,0.302647,False
11:00,A,nyc,1,12,0.74,0.083333,2.166667,1.0,0.338548,True
11:00,A,nyc,2,13,0.87,0.076923,1.0,1.0,0.474793,True
11:00,A,nyc,3,7,-0.16,0.0,2.285714,1.142857,0.346891,False
11:00,A,chicago,1,10,1.59,0.2,4.1,1.3,0.494484,True
11:00,A,chicago,2,13,-0.37,0.0,2.846154,1.769231,0.60573,False
11:00,A,chicago,3,5,-0.12,0.0,2.4,1.0,0.240706,False
11:00,B,pooled,1,22,2.1,0.136364,3.045455,1.136364,0.398974,True
