decision_time_local,scenario_code,city_scope,trades_taken,total_net_pnl,win_rate,average_entry_price,average_spread,average_edge,positive_fold_count,fold_count,all_folds_positive
08:00,A,pooled,62,2.47,0.080645,4.080645,1.516129,0.419396,3,3,True
08:00,A,nyc,33,0.82,0.060606,3.575758,1.484848,0.369528,2,3,False
08:00,A,chicago,29,1.65,0.103448,4.655172,1.551724,0.476143,2,3,False
08:00,B,pooled,62,1.82,0.080645,4.080645,1.516129,0.408912,3,3,True
08:00,B,nyc,33,0.47,0.060606,3.575758,1.484848,0.358922,2,3,False
08:00,B,chicago,29,1.35,0.103448,4.655172,1.551724,0.465798,2,3,False
08:00,C,pooled,62,1.82,0.080645,4.080645,1.516129,0.408912,3,3,True
08:00,C,nyc,33,0.47,0.060606,3.575758,1.484848,0.358922,2,3,False
08:00,C,chicago,29,1.35,0.103448,4.655172,1.551724,0.465798,2,3,False
08:00,D,pooled,56,1.59,0.071429,3.267857,1.232143,0.420256,2,3,False
08:00,D,nyc,31,0.75,0.064516,3.0,1.225806,0.351262,2,3,False
08:00,D,chicago,25,0.84,0.08,3.6,1.24,0.505808,1,3,False
09:00,A,pooled,60,0.49,0.033333,2.516667,1.283333,0.424222,2,3,False
09:00,A,nyc,32,0.3,0.03125,2.1875,1.28125,0.373898,1,3,False
09:00,A,chicago,28,0.19,0.035714,2.892857,1.285714,0.481734,1,3,False
09:00,B,pooled,59,0.01,0.033898,2.372881,1.288136,0.420543,2,3,False
09:00,B,nyc,31,0.1,0.032258,1.903226,1.290323,0.374305,1,3,False
09:00,B,chicago,28,-0.09,0.035714,2.892857,1.285714,0.471734,1,3,False
09:00,C,pooled,59,0.01,0.033898,2.372881,1.288136,0.420543,2,3,False
09:00,C,nyc,31,0.1,0.032258,1.903226,1.290323,0.374305,1,3,False
09:00,C,chicago,28,-0.09,0.035714,2.892857,1.285714,0.471734,1,3,False
09:00,D,pooled,56,0.24,0.035714,2.142857,1.142857,0.432913,2,3,False
09:00,D,nyc,29,0.23,0.034483,1.655172,1.068966,0.385168,1,3,False
09:00,D,chicago,27,0.01,0.037037,2.666667,1.222222,0.484195,1,3,False
10:00,A,pooled,62,3.08,0.080645,3.096774,1.225806,0.428531,3,3,True
10:00,A,nyc,32,1.26,0.0625,2.3125,1.15625,0.389785,2,3,False
10:00,A,chicago,30,1.82,0.1,3.933333,1.3,0.46986,2,3,False
10:00,B,pooled,62,2.44,0.080645,3.096774,1.225806,0.418208,3,3,True
10:00,B,nyc,32,0.93,0.0625,2.3125,1.15625,0.379473,2,3,False
10:00,B,chicago,30,1.51,0.1,3.933333,1.3,0.459526,2,3,False
10:00,C,pooled,62,2.44,0.080645,3.096774,1.225806,0.418208,3,3,True
10:00,C,nyc,32,0.93,0.0625,2.3125,1.15625,0.379473,2,3,False
10:00,C,chicago,30,1.51,0.1,3.933333,1.3,0.459526,2,3,False
10:00,D,pooled,58,2.74,0.086207,2.862069,1.051724,0.420194,3,3,True
10:00,D,nyc,30,1.04,0.066667,2.166667,1.033333,0.367103,2,3,False
10:00,D,chicago,28,1.7,0.107143,3.607143,1.071429,0.477077,2,3,False
11:00,A,pooled,60,2.55,0.066667,2.416667,1.233333,0.444766,2,3,False
11:00,A,nyc,32,1.45,0.0625,1.71875,1.03125,0.395723,2,3,False
11:00,A,chicago,28,1.1,0.071429,3.214286,1.464286,0.500816,1,3,False
11:00,B,pooled,60,1.94,0.066667,2.416667,1.233333,0.4346,2,3,False
